name	season
東京24区	2022年冬
勇者、辞めます	2022年春
ミラキュラス・ワールド／ニューヨーク ユナイテッド・ヒーローズ	2021年冬
闘神機ジーズフレーム	2021年秋
カードファイト!! ヴァンガード overDress Season2	2021年秋
平家物語	2022年冬
キミとフィットボクシング	2021年秋
しょうたいむ！～歌のお姉さんだってしたい	2021年秋
永遠の831	2022年冬
阿波連さんははかれない	2022年春
デジモンゴーストゲーム	2021年秋
でーじミーツガール	2021年秋
メガトン級ムサシ	2021年秋
異世界チート魔術師 第13話「宵星の祭りと魔術師」	2021年夏
逆転世界ノ電池少女	2021年秋
ぐんまちゃん	2021年秋
86―エイティシックス― 第2クール	2021年秋
Deep Insanity THE LOST CHILD	2021年秋
かぎなど	2021年秋
ワッチャプリマジ！	2021年秋
やくならマグカップも 二番窯	2021年秋
海賊王女	2021年秋
D_CIDE TRAUMEREI THE ANIMATION	2021年夏
KICK&SLIDE	2021年夏
プリティーオールフレンズセレクション	2021年春
ルパン三世 PART6	2021年秋
異世界美少女受肉おじさんと	2022年冬
古見さんは、コミュ症です。	2021年秋
天官賜福	2021年夏
ビルディバイド -#000000- 第1期	2021年秋
テスラノート	2021年秋
魔法使い黎明期	2022年春
180秒で君の耳を幸せにできるか？	2021年秋
Sonny Boy	2021年夏
異世界食堂2	2021年秋
最果てのパラディン	2021年秋
ジャヒー様はくじけない！	2021年夏
その着せ替え人形は恋をする	2022年冬
グリム名作劇場	1987年冬
女王陛下のプティアンジェ	1977年冬
ジョジョの奇妙な冒険 ストーンオーシャン	2022年冬
ピノキオより ピコリーノの冒険	1976年春
悪魔島のプリンス 三つ目がとおる	1985年夏
リトル・エル・シドの冒険	1984年冬
愛の学校 クオレ物語	1981年春
大自然の魔獣 バギ	1984年夏
シートン動物記 くまの子ジャッキー	1977年春
まえがみ太郎	1979年
大雪山の勇者 牙王	1978年夏
ワールドトリガー 3rdシーズン	2021年秋
無職転生 ～異世界行ったら本気だす～  第2部	2021年秋
ピクシー・ホロウ・ゲームズ 妖精たちの祭典	2011年秋
ヴィジュアルプリズン	2021年秋
takt op.Destiny	2021年秋
明日ちゃんのセーラー服	2022年冬
ドールズフロントライン	2022年冬
半妖の夜叉姫 -戦国御伽草子- 弐の章	2021年秋
SCARLET NEXUS	2021年夏
見える子ちゃん	2021年秋
境界戦機	2021年秋
錆喰いビスコ	2022年冬
RE-MAIN	2021年夏
RPG不動産	2022年
陰の実力者になりたくて！	2022年
世界最高の暗殺者、異世界貴族に転生する	2021年秋
魔王イブロギアに身を捧げよ	2021年秋
フットサルボーイズ!!!!!	2022年冬
俺、つしま	2021年夏
ひぐらしのなく頃に卒	2021年夏
大家さんと僕 シーズン3	2021年春
赤ちゃん本部長	2021年春
マシンロボ ぶっちぎりバトルハッカーズ	1987年春
月とライカと吸血姫	2021年秋
BLUE REFLECTION RAY/澪	2021年春
擾乱 THE PRINCESS OF SNOW AND BLOOD	2021年春
Thunderbolt Fantasy 東離劍遊紀 3	2021年春
マジカパーティ	2021年春
探偵はもう、死んでいる。	2021年夏
黒ギャルになったから親友としてみた。	2021年春
iiiあいすくりん	2021年春
セブンナイツ レボリューション -英雄の継承者-	2021年春
死神坊ちゃんと黒メイド	2021年夏
白い砂のアクアトープ	2021年夏
Vivy -Fluorite Eye's Song-	2021年春
オッドタクシー	2021年春
ブルーピリオド	2021年秋
NOMAD メガロボクス2	2021年春
結城友奈は勇者である ちゅるっと！	2021年春
失格紋の最強賢者	2022年冬
進化の実～知らないうちに勝ち組人生～	2021年秋
カードファイト!! ヴァンガード overDress	2021年春
新幹線変形ロボ シンカリオンZ THE ANIMATION	2021年春
PUI PUI モルカー	2021年冬
大正オトメ御伽話	2021年秋
プラチナエンド	2021年秋
100万の命の上に俺は立っている 第2シーズン	2021年夏
ダイナ荘びより	2021年春
アイドリッシュセブン Third BEAT! 第1クール	2021年夏
魔法科高校の優等生	2021年夏
アリスインデッドリースクール	2021年冬
月が導く異世界道中	2021年夏
出会って5秒でバトル	2021年夏
プレイタの傷	2021年冬
究極進化したフルダイブRPGが現実よりもクソゲーだったら	2021年春
SELECTION PROJECT	2021年秋
プラオレ！～PRIDE OF ORANGE～	2021年秋
さんかく窓の外側は夜	2021年秋
カノジョも彼女	2021年夏
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました	2021年秋
